program,project,year_month,covered_percent,covered_lines,total_lines,repo_count,calculated_at,coverage_change,collected_at
CCDI,C3DC; CCDC; CCDI-Hub; MDB; data-centric; datasharing,2026-05-01T04:00:00Z,0.3224,22208,68878,18,2026-05-03T03:14:52Z,-0.0001,2026-05-03T03:14:52Z
CCDI,C3DC; CCDC; CCDI-Hub; MDB; data-centric; datasharing,2026-04-01T04:00:00Z,0.3225,22208,68869,18,2026-05-01T03:59:59Z,-0.0065,2026-05-03T03:14:52Z
CCDI,C3DC; CCDC; CCDI-Hub; MDB; data-centric; datasharing,2026-03-01T05:00:00Z,0.329,21504,65364,18,2026-04-01T03:59:59Z,-0.0005,2026-05-03T03:14:52Z
CCDI,C3DC; CCDC; CCDI-Hub; MDB; data-centric; datasharing,2026-02-01T05:00:00Z,0.3295,21356,64805,18,2026-03-01T04:59:59Z,0.0141,2026-05-03T03:14:52Z
CCDI,C3DC; CCDC; CCDI-Hub; MDB; data-centric; datasharing,2026-01-01T05:00:00Z,0.3154,20075,63647,17,2026-01-30T20:49:21Z,,2026-05-03T03:14:52Z
CRDC,CTDC; Data Loader; Data Model Navigator; General Commons; ICDC; PSDC; Submission Portal,2026-05-01T04:00:00Z,0.5082,51402,101151,20,2026-05-03T03:14:44Z,0.0,2026-05-03T03:14:52Z
CRDC,CTDC; Data Loader; Data Model Navigator; General Commons; ICDC; PSDC; Submission Portal,2026-04-01T04:00:00Z,0.5082,51402,101151,20,2026-05-01T03:59:59Z,0.0016,2026-05-03T03:14:52Z
CRDC,CTDC; Data Loader; Data Model Navigator; General Commons; ICDC; PSDC; Submission Portal,2026-03-01T05:00:00Z,0.5066,49828,98364,20,2026-04-01T03:59:59Z,0.0438,2026-05-03T03:14:52Z
CRDC,CTDC; Data Loader; Data Model Navigator; General Commons; ICDC; PSDC; Submission Portal,2026-02-01T05:00:00Z,0.4628,45128,97510,20,2026-03-01T04:59:59Z,-0.0249,2026-05-03T03:14:52Z
CRDC,CTDC; Data Loader; Data Model Navigator; General Commons; ICDC; Submission Portal,2026-01-01T05:00:00Z,0.4877,40586,83223,14,2026-01-30T20:26:24Z,,2026-05-03T03:14:52Z
