program,project,year_month,covered_percent,covered_lines,total_lines,repo_count,calculated_at,coverage_change,collected_at
CCDI,C3DC,2026-04,0.0721,1218,16903,3,2026-04-22T15:06:35Z,-0.0078,2026-04-22
CCDI,C3DC,2026-03,0.0799,1218,15238,3,2026-04-01T03:59:59Z,-0.0027,2026-04-22
CCDI,C3DC,2026-02,0.0826,1220,14775,3,2026-02-23T18:58:23Z,0.0001,2026-04-22
CCDI,C3DC,2026-01,0.0825,1220,14792,3,2026-01-30T17:28:00Z,,2026-04-22
CCDI,CCDC,2026-04,0.0072,48,6638,3,2026-04-20T19:18:37Z,0.0,2026-04-22
CCDI,CCDC,2026-03,0.0072,48,6638,3,2026-03-31T20:05:29Z,0.0,2026-04-22
CCDI,CCDC,2026-02,0.0072,48,6638,3,2026-02-19T18:30:17Z,0.0,2026-04-22
CCDI,CCDC,2026-01,0.0072,48,6688,3,2026-01-22T22:47:29Z,,2026-04-22
CCDI,CCDI-Hub,2026-04,0.0216,367,16956,5,2026-04-22T15:06:36Z,-0.0003,2026-04-22
CCDI,CCDI-Hub,2026-03,0.0219,367,16769,5,2026-03-31T14:20:40Z,-0.0001,2026-04-22
CCDI,CCDI-Hub,2026-02,0.022,367,16678,5,2026-03-01T04:59:59Z,0.0014,2026-04-22
CCDI,CCDI-Hub,2026-01,0.0206,343,16632,4,2026-01-29T15:46:01Z,,2026-04-22
CRDC,CTDC,2026-04,0.0378,362,9588,3,2026-04-22T15:06:31Z,-0.0004,2026-04-22
CRDC,CTDC,2026-03,0.0382,362,9480,3,2026-04-01T03:59:59Z,0.0,2026-04-22
CRDC,CTDC,2026-02,0.0382,362,9480,3,2026-03-01T04:59:59Z,-0.0155,2026-04-22
CRDC,CTDC,2026-01,0.0537,290,5403,2,2026-01-30T13:40:38Z,,2026-04-22
CRDC,Data Loader,2026-04,0.1895,923,4871,1,2026-04-20T16:22:01Z,-0.0007,2026-04-22
CRDC,Data Loader,2026-03,0.1902,923,4852,1,2026-03-31T21:17:29Z,-0.0006,2026-04-22
