Program,Project,Repository ,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-ui,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-backend,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-authn,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-validator,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-cli-uploader,
CRDC,Submission Portal,https://github.com/CBIIT/crdc-datahub-chatbot-backend,
CRDC,General Commons,https://github.com/cbiit/general-commons,
CRDC,General Commons,https://github.com/cbiit/general-commons,
CRDC,General Commons,https://github.com/cbiit/general-commons,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-authn,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-files,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-ui,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-interoperation,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-backend,
CRDC,CTDC,https://github.com/CBIIT/crdc-ctdc-dataloader,
CRDC,Popscince,https://github.com/CBIIT/crdc-popsci-ui,
CRDC,Popscince,https://github.com/CBIIT/crdc-popsci-backend,
CRDC,Popscince,https://github.com/CBIIT/crdc-popsci-cgc-data-transfer,
CRDC,ICDC,https://github.com/CBIIT/bento-icdc-frontend,
CRDC,ICDC,https://github.com/CBIIT/bento-icdc-backend/tree/14.13.0,
CRDC,ICDC,https://github.com/CBIIT/bento-icdc-interoperation,
CRDC,ICDC,https://github.com/CBIIT/crdc-icdc-data-retriever,
CRDC,ICDC,https://github.com/CBIIT/bento-files,
CRDC,Data Loader,https://github.com/CBIIT/icdc-dataloader,
CRDC,Data Model Navigator,https://github.com/CBIIT/Data-Model-Navigator,
CCDI,datasharing,https://github.com/CBIIT/ccdi-ods-ui,
CCDI,data-centric,https://github.com/CBIIT/ccdi-dcc-federation-service,
CCDI,data-centric,https://github.com/CBIIT/ccdi-dcc-graphql,
CCDI,CPI,https://github.com/CBIIT/ccdi-cpi-etl,
CCDI,CPI,https://github.com/CBIIT/ccdi-devops-cpi,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-frontend,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-session-service,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-backend,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-content-ui,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-site,
CCDI,CCDI-CBIO,https://github.com/CBIIT/ccdi-cbio-core,
CCDI,C3DC,https://github.com/CBIIT/bento-c3dc-frontend,
CCDI,C3DC,https://github.com/CBIIT/CCDI-C3DC-Backend,
CCDI,C3DC,https://github.com/CBIIT/CCDI-C3DC-Dataloader,
CCDI,CCDC,https://github.com/CBIIT/CCDC-WebPortal,
CCDI,CCDC,https://github.com/CBIIT/CCDC-WebService,
CCDI,CCDC,https://github.com/CBIIT/CCDC-ETL,
CCDI,CCDI-Hub,https://github.com/CBIIT/CCDI-Portal-WebPortal,
CCDI,CCDI-Hub,https://github.com/CBIIT/CCDI-Portal-WebService,
CCDI,CCDI-Hub,https://github.com/CBIIT/bento-cds-interoperation/tree/ccdi-1.2.0,
CCDI,CCDI-Hub,https://github.com/CBIIT/CCDI-Portal-ETL,
CCDI,CCDI-Hub,https://github.com/CBIIT/CCDI-Inventory-Dataloader,
CCDI,MDB,https://github.com/CBIIT/bento-mdf,
CCDI,MDB,https://github.com/CBIIT/bento-meta,
CCDI,MDB,https://github.com/CBIIT/bento-mdb,
CCDI,MDB,https://github.com/CBIIT/bento-sts,
CCDI,MDB,https://github.com/CBIIT/bento-sts-fastapi,
